Otro.12,count
,371
NO ME LLEGA LA FACTURA,2
SOLICITAR COPIA DE LA FACTURA11,2
VENGO A SOLICITAR INFORMACION ACERCA DEL PAGO DE MI FACTURA,2
NO ME LLEGA LA FACTURA NI FISICA NI AL CORREO,2
VENGO A SOLICITAR CAMBIO DE TITULAR,2
No llega la factura y no llega el numero del cliente.,1
Me cambiaron la fecha de pago yo puedo pagar los 5 de cada mes,1
Me botan el recibo por encima de la reja y no en el Buzon el recibo de ENEL se pierde no lo pago y me suspenden el servicio,1
Solicitar copia de las facturas,1
SOLICITO COPIA DE LA FACTURA,1
Sudsidio de Apt desocupado.,1
COPIA DEL PAGO DE LA FINANCIACION,1
SOLICITO INFORMACION EN QUE ESTADO SE ENCUENTRA MI PQR,1
Solicito informacion de la financiacion del pago del servicio,1
Cambio de fisica a Electronica,1
Cuando voy a pagar mi factura me aparece que esta pagada pero me llego una carta donde se me hace un cobro $ 1925490 no se de que es ese cobro,1
SOLICITAR INFORMACION EN QUE ESTADO VA MI PQR,1
SOLICITAR UNA FINANCIACION PARA QUEDAR AL DIA CON LA DEUDA TOTAL,1
EL MEDIDOR NO ESTA SIRVIENDO Y COBRAN POR COBRAR SOLICITO UNA VISITA CON URGENCIA,1
